Gene,Gene description,Variation between individuals,Variation within individuals
ARHGAP30,Rho GTPase activating protein 30,1.25,39.14
NPIPB6,Nuclear pore complex interacting protein family member B6,1.25,36.12
VWA1,Von Willebrand factor A domain containing 1,1.24,19.56
RIPK4,Receptor interacting serine/threonine kinase 4,1.24,26.6
DNAJB2,DnaJ heat shock protein family (Hsp40) member B2,1.24,3.55
CLEC6A,C-type lectin domain containing 6A,1.23,28.96
AFAP1L1,Actin filament associated protein 1 like 1,1.22,29.83
TDGF1,Teratocarcinoma-derived growth factor 1,1.22,91.06
CLEC5A,C-type lectin domain containing 5A,1.21,37.71
CCL28,C-C motif chemokine ligand 28,1.21,31.75
ZNF207,Zinc finger protein 207,1.21,5.39
FBLN2,Fibulin 2,1.2,23.57
FAM3D,FAM3 metabolism regulating signaling molecule D,1.2,83.08
DKK4,Dickkopf WNT signaling pathway inhibitor 4,1.19,22.13
KLHL40,Kelch like family member 40,1.19,27.79
CABP4,Calcium binding protein 4,1.19,34.51
CDK17,Cyclin dependent kinase 17,1.18,8.78
ZFAND4,Zinc finger AN1-type containing 4,1.18,30.35
REST,RE1 silencing transcription factor,1.18,20.86
THBD,Thrombomodulin,1.18,49.46
ZNF831,Zinc finger protein 831,1.17,24.46
IL36G,Interleukin 36 gamma,1.17,18.08
CLEC1A,C-type lectin domain family 1 member A,1.17,48.59
TICRR,TOPBP1 interacting checkpoint and replication regulator,1.17,48.06
FCHO2,FCH and mu domain containing endocytic adaptor 2,1.17,0.01
LECT2,Leukocyte cell derived chemotaxin 2,1.16,57.54
ELANE,"Elastase, neutrophil expressed",1.16,2.06
CCAR2,Cell cycle and apoptosis regulator 2,1.16,18.67
SMNDC1,Survival motor neuron domain containing 1,1.16,0
EMID1,EMI domain containing 1,1.14,33.16
ZMYND11,Zinc finger MYND-type containing 11,1.13,1.02
ATP1B1,ATPase Na+/K+ transporting subunit beta 1,1.13,13.22
PYDC1,Pyrin domain containing 1,1.13,41.7
HLA-A,"Major histocompatibility complex, class I, A",1.12,72.86
RAB44,"RAB44, member RAS oncogene family",1.12,6.72
RGMB,Repulsive guidance molecule BMP co-receptor b,1.12,31.85
TSHB,Thyroid stimulating hormone subunit beta,1.11,48.18
GRIK5,Glutamate ionotropic receptor kainate type subunit 5,1.11,26.07
NANS,N-acetylneuraminate synthase,1.09,3.62
DNAJB8,DnaJ heat shock protein family (Hsp40) member B8,1.09,30.3
SELENOH,Selenoprotein H,1.09,2.89
SH3BP1,SH3 domain binding protein 1,1.08,15.66
AP2B1,Adaptor related protein complex 2 subunit beta 1,1.08,5.76
PPM1A,"Protein phosphatase, Mg2+/Mn2+ dependent 1A",1.08,14.65
CCL15,C-C motif chemokine ligand 15,1.07,72.8
XCL1,X-C motif chemokine ligand 1,1.07,26.41
RASSF5,Ras association domain family member 5,1.05,0
MCCC1,Methylcrotonyl-CoA carboxylase subunit 1,1.05,25.93
NECTIN1,Nectin cell adhesion molecule 1,1.05,40.35
CRELD2,Cysteine rich with EGF like domains 2,1.05,15.1
CXCL5,C-X-C motif chemokine ligand 5,1.04,27.14
BDNF,Brain derived neurotrophic factor,1.04,20.35
NMNAT1,Nicotinamide nucleotide adenylyltransferase 1,1.04,9.46
IL1RL2,Interleukin 1 receptor like 2,1.04,35.1
PPP1R9B,Protein phosphatase 1 regulatory subunit 9B,1.04,11.04
RGCC,Regulator of cell cycle,1.04,15.82
GFRAL,GDNF family receptor alpha like,1.04,51.3
SF3B4,Splicing factor 3b subunit 4,1.03,6.25
OFD1,OFD1 centriole and centriolar satellite protein,1.03,9.52
DAZ4,Deleted in azoospermia 4,1.03,35.98
NFYA,Nuclear transcription factor Y subunit alpha,1.02,1.71
ZNF350,Zinc finger protein 350,1.02,36.67
NMI,N-myc and STAT interactor,1.01,20.25
KIAA1328,KIAA1328,1.01,12.09
TNFRSF11A,TNF receptor superfamily member 11a,1.01,58.17
IL6ST,Interleukin 6 cytokine family signal transducer,1.01,27.35
IGF2BP3,Insulin like growth factor 2 mRNA binding protein 3,1.01,2.1
SASS6,SAS-6 centriolar assembly protein,1.01,8.35
LAIR1,Leukocyte associated immunoglobulin like receptor 1,1,62.51
ZCCHC14,Zinc finger CCHC-type containing 14,0.99,44.06
MEP1A,Meprin A subunit alpha,0.99,57
TNRC18,Trinucleotide repeat containing 18,0.99,33.7
GFRA2,GDNF family receptor alpha 2,0.98,38.23
CLEC7A,C-type lectin domain containing 7A,0.98,80.04
DNLZ,DNL-type zinc finger,0.97,26.37
TIMP1,TIMP metallopeptidase inhibitor 1,0.97,16.1
MMP8,Matrix metallopeptidase 8,0.97,12.53
CENPF,Centromere protein F,0.97,5.86
MRPL53,Mitochondrial ribosomal protein L53,0.96,46.4
CCN2,Cellular communication network factor 2,0.96,33.22
KIR2DL3,"Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3",0.95,80.15
PPIE,Peptidylprolyl isomerase E,0.95,11.53
KRT19,Keratin 19,0.95,27.71
ZMYND15,Zinc finger MYND-type containing 15,0.95,22.94
RPH3AL,Rabphilin 3A like (without C2 domains),0.94,18.46
MAK,Male germ cell associated kinase,0.94,44.88
SIPA1,Signal-induced proliferation-associated 1,0.94,4.22
WDR64,WD repeat domain 64,0.93,41.68
PTPRS,Protein tyrosine phosphatase receptor type S,0.93,51.87
ODF2L,Outer dense fiber of sperm tails 2 like,0.93,29.28
DNAH5,Dynein axonemal heavy chain 5,0.92,41.15
ARG1,Arginase 1,0.92,4.3
GFOD2,Glucose-fructose oxidoreductase domain containing 2,0.91,49.91
HHEX,Hematopoietically expressed homeobox,0.91,11.55
KLRD1,Killer cell lectin like receptor D1,0.91,29.33
C16orf78,Chromosome 16 open reading frame 78,0.91,26.93
CLEC4A,C-type lectin domain family 4 member A,0.89,39.99
PIK3AP1,Phosphoinositide-3-kinase adaptor protein 1,0.89,5.76
AEBP1,AE binding protein 1,0.89,15.04
IGF2R,Insulin like growth factor 2 receptor,0.88,53.65
FIS1,"Fission, mitochondrial 1",0.88,11.47
COCH,Cochlin,0.88,38.98
PRDX2,Peroxiredoxin 2,0.88,1.23
PHLDA3,Pleckstrin homology like domain family A member 3,0.87,24.1
LPCAT2,Lysophosphatidylcholine acyltransferase 2,0.87,7.75
KITLG,KIT ligand,0.86,36.5
GBA1,Glucosylceramidase beta 1,0.86,32
MMAB,Metabolism of cobalamin associated B,0.86,16.85
LAMB1,Laminin subunit beta 1,0.86,33.34
MNT,MAX network transcriptional repressor,0.86,4.89
PLEKHD1,Pleckstrin homology and coiled-coil domain containing D1,0.85,40.06
CASP8,Caspase 8,0.85,8.21
CTSA,Cathepsin A,0.85,8.46
PDCD5,Programmed cell death 5,0.84,8.5
ACADM,Acyl-CoA dehydrogenase medium chain,0.84,30.85
MDH1,Malate dehydrogenase 1,0.84,3.32
REG3G,Regenerating family member 3 gamma,0.83,12.65
NSFL1C,NSFL1 cofactor,0.83,1.88
LYPD3,LY6/PLAUR domain containing 3,0.83,53.63
KIF1C,Kinesin family member 1C,0.82,9.15
KIFC1,Kinesin family member C1,0.82,16.04
ZBED5,Zinc finger BED-type containing 5,0.82,30.11
CXCL1,C-X-C motif chemokine ligand 1,0.82,27.2
CD36,CD36 molecule,0.82,27.32
TIE1,Tyrosine kinase with immunoglobulin like and EGF like domains 1,0.81,61.37
TP53BP1,Tumor protein p53 binding protein 1,0.81,36.25
SH3BGRL2,SH3 domain binding glutamate rich protein like 2,0.81,12.04
APOH,Apolipoprotein H,0.81,13.79
SPN,Sialophorin,0.81,8.32
ASB15,Ankyrin repeat and SOCS box containing 15,0.81,14.44
TOX3,TOX high mobility group box family member 3,0.8,8.56
OGN,Osteoglycin,0.8,4.16
THAP10,THAP domain containing 10,0.79,14.5
KIAA1217,KIAA1217,0.79,22.2
CHIT1,Chitinase 1,0.79,94.09
PRG3,"Proteoglycan 3, pro eosinophil major basic protein 2",0.78,40.17
CA9,Carbonic anhydrase 9,0.78,21.68
EFNA1,Ephrin A1,0.77,24.56
NPM1,Nucleophosmin 1,0.76,1.98
ADGRF5,Adhesion G protein-coupled receptor F5,0.76,30.86
ULBP2,UL16 binding protein 2,0.76,40.12
RAET1L,Retinoic acid early transcript 1L,0.76,40.12
CASP1,Caspase 1,0.76,2.23
C4BPB,Complement component 4 binding protein beta,0.75,43.44
CEP89,Centrosomal protein 89,0.74,22.56
CCL2,C-C motif chemokine ligand 2,0.74,21.11
CHRM1,Cholinergic receptor muscarinic 1,0.73,26.21
NQO1,NAD(P)H quinone dehydrogenase 1,0.73,36.99
NCF2,Neutrophil cytosolic factor 2,0.73,0
AGER,Advanced glycosylation end-product specific receptor,0.73,61.62
CD300A,CD300a molecule,0.73,63.4
MIB2,MIB E3 ubiquitin protein ligase 2,0.73,25.89
CWF19L1,CWF19 like cell cycle control factor 1,0.72,12.75
SDHB,Succinate dehydrogenase complex iron sulfur subunit B,0.72,6.99
TYRP1,Tyrosinase related protein 1,0.71,42.86
HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U like 1,0.71,5.47
MYOC,Myocilin,0.71,43.44
YJU2B,YJU2 splicing factor homolog B,0.7,19.66
SELP,Selectin P,0.7,12.32
PTPN14,Protein tyrosine phosphatase non-receptor type 14,0.7,36.73
ERN1,Endoplasmic reticulum to nucleus signaling 1,0.7,49.27
FTO,FTO alpha-ketoglutarate dependent dioxygenase,0.7,12.92
KLK12,Kallikrein related peptidase 12,0.7,66.84
RBKS,Ribokinase,0.7,1.31
TBC1D2,TBC1 domain family member 2,0.69,2.57
GNPDA1,Glucosamine-6-phosphate deaminase 1,0.69,24.27
MMUT,Methylmalonyl-CoA mutase,0.69,12.37
CALML4,Calmodulin like 4,0.69,10.19
KLK1,Kallikrein 1,0.68,94.82
IL18BP,Interleukin 18 binding protein,0.68,42.05
PGM2,Phosphoglucomutase 2,0.67,5.41
FLT4,Fms related receptor tyrosine kinase 4,0.66,53.62
AKAP8,A-kinase anchoring protein 8,0.66,16.44
UGGT1,UDP-glucose glycoprotein glucosyltransferase 1,0.66,1.66
BIN2,Bridging integrator 2,0.66,2.1
PCDHB15,Protocadherin beta 15,0.66,54.84
RCOR1,REST corepressor 1,0.65,22.86
ITM2A,Integral membrane protein 2A,0.65,22.4
DDX1,DEAD-box helicase 1,0.65,11.09
CD244,CD244 molecule,0.64,52.48
DUT,Deoxyuridine triphosphatase,0.64,0.12
PPP1R13B,Protein phosphatase 1 regulatory subunit 13B,0.64,45.47
CUTC,CutC copper transporter,0.64,8.27
ANGPTL1,Angiopoietin like 1,0.64,21.79
ALDH2,Aldehyde dehydrogenase 2 family member,0.64,19.54
PSMD9,"Proteasome 26S subunit, non-ATPase 9",0.63,0.69
SHOX,Short stature homeobox,0.63,45.9
CAT,Catalase,0.63,2.01
SLC40A1,Solute carrier family 40 member 1,0.63,15.81
IL10,Interleukin 10,0.63,20.1
SEMA4D,Semaphorin 4D,0.62,17.87
ANKRD10,Ankyrin repeat domain 10,0.62,46.96
AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",0.62,33.78
MSL2,MSL complex subunit 2,0.62,24.09
SIGLEC9,Sialic acid binding Ig like lectin 9,0.61,66.71
SDHAF4,Succinate dehydrogenase complex assembly factor 4,0.61,13.94
PALM2AKAP2,PALM2 and AKAP2 fusion,0.61,19.27
EREG,Epiregulin,0.6,6.85
S100A11,S100 calcium binding protein A11,0.6,2.78
C2CD2L,C2CD2 like,0.59,15.01
TNFRSF6B,TNF receptor superfamily member 6b,0.58,38.68
C2CD4C,C2 calcium dependent domain containing 4C,0.56,15.06
CCL23,C-C motif chemokine ligand 23,0.56,43.1
DNAL1,Dynein axonemal light chain 1,0.55,20.23
HSD11B1,Hydroxysteroid 11-beta dehydrogenase 1,0.55,32.72
ELOB,Elongin B,0.55,4.42
VMO1,Vitelline membrane outer layer 1 homolog,0.55,62.47
LBR,Lamin B receptor,0.55,3.43
KIF9,Kinesin family member 9,0.55,32.17
SLK,STE20 like kinase,0.55,25.79
HMBOX1,Homeobox containing 1,0.55,12.08
IRF2BP2,Interferon regulatory factor 2 binding protein 2,0.55,33.31
MEFV,"MEFV innate immuity regulator, pyrin",0.55,22.48
ALPI,"Alkaline phosphatase, intestinal",0.55,67.72
KIAA0319L,KIAA0319 like,0.54,18.73
PPP3R1,"Protein phosphatase 3 regulatory subunit B, alpha",0.54,12.52
DIABLO,Diablo IAP-binding mitochondrial protein,0.54,9.13
SURF2,Surfeit 2,0.54,46.91
CLK3,CDC like kinase 3,0.53,23.02
REG3A,Regenerating family member 3 alpha,0.53,46.5
CSF3,Colony stimulating factor 3,0.53,8.37
NID1,Nidogen 1,0.52,32.67
COL28A1,Collagen type XXVIII alpha 1 chain,0.52,63.34
BTBD9,BTB domain containing 9,0.52,25.19
CEP20,Centrosomal protein 20,0.52,7.92
LAMTOR5,"Late endosomal/lysosomal adaptor, MAPK and MTOR activator 5",0.51,0
IL6,Interleukin 6,0.51,2.93
CREG1,Cellular repressor of E1A stimulated genes 1,0.51,34
SHISA5,Shisa family member 5,0.5,18.26
HSPA2,Heat shock protein family A (Hsp70) member 2,0.49,8.64
TLR3,Toll like receptor 3,0.49,92.91
RIGI,RNA sensor RIG-I,0.49,12.42
MECR,Mitochondrial trans-2-enoyl-CoA reductase,0.49,3.87
CD248,CD248 molecule,0.49,20.34
SHPK,Sedoheptulokinase,0.49,27.43
C2orf80,Chromosome 2 open reading frame 80,0.48,36.48
CLGN,Calmegin,0.48,29.2
RTF2,Replication termination factor 2,0.48,7.26
TLR1,Toll like receptor 1,0.48,25.26
CXCL11,C-X-C motif chemokine ligand 11,0.48,28.91
OSM,Oncostatin M,0.47,5.12
NEB,Nebulin,0.47,16.14
ZRSR2,"Zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2",0.47,9.04
CBLIF,Cobalamin binding intrinsic factor,0.46,81.94
PPP4R4,Protein phosphatase 4 regulatory subunit 4,0.46,38.67
SLC4A1,Solute carrier family 4 member 1 (Diego blood group),0.46,4.54
SNCA,Synuclein alpha,0.45,15.44
RALY,RALY heterogeneous nuclear ribonucleoprotein,0.45,1.59
CD207,CD207 molecule,0.45,31.33
SPIRE2,Spire type actin nucleation factor 2,0.44,29.19
RARRES2,Retinoic acid receptor responder 2,0.44,27.07
GPA33,Glycoprotein A33,0.44,57.21
EPPK1,Epiplakin 1,0.44,52.51
SYTL1,Synaptotagmin like 1,0.43,3.53
DNAH7,Dynein axonemal heavy chain 7,0.43,25.87
AHCY,Adenosylhomocysteinase,0.43,15.03
RECQL5,RecQ like helicase 5,0.43,11.12
KIR3DL1,"Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1",0.43,92.76
CLEC4D,C-type lectin domain family 4 member D,0.43,40.23
KCTD5,Potassium channel tetramerization domain containing 5,0.42,19.75
MAN2B2,Mannosidase alpha class 2B member 2,0.41,80.96
RAB27B,"RAB27B, member RAS oncogene family",0.41,8.85
STXBP5L,Syntaxin binding protein 5L,0.41,35.35
HMGCL,3-hydroxy-3-methylglutaryl-CoA lyase,0.41,6.86
SOX13,SRY-box transcription factor 13,0.41,7.73
IGSF8,Immunoglobulin superfamily member 8,0.4,22.68
ESM1,Endothelial cell specific molecule 1,0.4,41.85
HSPA13,Heat shock protein family A (Hsp70) member 13,0.39,41.5
ENAH,ENAH actin regulator,0.39,17.12
PADI4,Peptidyl arginine deiminase 4,0.39,6.87
BLVRB,Biliverdin reductase B,0.39,0
CCDC138,Coiled-coil domain containing 138,0.38,23.8
CCDC170,Coiled-coil domain containing 170,0.38,7.25
RNF43,Ring finger protein 43,0.38,11.04
IDUA,Alpha-L-iduronidase,0.38,39.36
MAPK9,Mitogen-activated protein kinase 9,0.37,4.33
RCC1,Regulator of chromosome condensation 1,0.37,0
C7orf50,Chromosome 7 open reading frame 50,0.37,5.66
ALDH1A1,Aldehyde dehydrogenase 1 family member A1,0.36,7.48
MNDA,Myeloid cell nuclear differentiation antigen,0.36,0
CCL25,C-C motif chemokine ligand 25,0.36,32.63
CBX4,Chromobox 4,0.36,17.79
VSTM1,V-set and transmembrane domain containing 1,0.35,66.62
TNF,Tumor necrosis factor,0.35,41.3
PDZK1,PDZ domain containing 1,0.35,24.17
GCHFR,GTP cyclohydrolase I feedback regulator,0.35,25.15
NOL4L,Nucleolar protein 4 like,0.35,12.19
HYOU1,Hypoxia up-regulated 1,0.35,25.89
ZC3H12D,Zinc finger CCCH-type containing 12D,0.34,9.56
NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,0.34,8.99
CAPN8,Calpain 8,0.34,19.46
SLIT2,Slit guidance ligand 2,0.34,24.79
SAMD8,Sterile alpha motif domain containing 8,0.34,22.3
IGFL4,IGF like family member 4,0.34,35.15
ZFYVE9,Zinc finger FYVE-type containing 9,0.33,48.18
MICB,MHC class I polypeptide-related sequence B,0.33,97.19
MICA,MHC class I polypeptide-related sequence A,0.33,97.19
RTEL1,Regulator of telomere elongation helicase 1,0.33,0.71
TMPRSS5,Transmembrane serine protease 5,0.33,70.42
LYPD1,LY6/PLAUR domain containing 1,0.33,23.97
CABYR,Calcium binding tyrosine phosphorylation regulated,0.32,19.32
RYK,Receptor like tyrosine kinase,0.32,28.81
SGTA,Small glutamine rich tetratricopeptide repeat co-chaperone alpha,0.32,6.4
MAEA,"Macrophage erythroblast attacher, E3 ubiquitin ligase",0.31,7.93
RINT1,RAD50 interactor 1,0.31,13.58
BRK1,BRICK1 subunit of SCAR/WAVE actin nucleating complex,0.31,18.17
CCL24,C-C motif chemokine ligand 24,0.31,69.62
LHX2,LIM homeobox 2,0.3,11.77
PPP1R3B,Protein phosphatase 1 regulatory subunit 3B,0.29,12.91
SRP14,Signal recognition particle 14,0.29,3.78
LMNB1,Lamin B1,0.29,9.83
YWHAQ,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,0.29,7.44
ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,0.28,47.22
CD276,CD276 molecule,0.28,39.03
SPINK1,Serine peptidase inhibitor Kazal type 1,0.28,44.47
LILRA6,Leukocyte immunoglobulin like receptor A6,0.28,88.38
PLA2G15,Phospholipase A2 group XV,0.28,45.51
PPME1,Protein phosphatase methylesterase 1,0.28,1.79
IFNLR1,Interferon lambda receptor 1,0.28,61.26
TPK1,Thiamin pyrophosphokinase 1,0.27,28.76
PSCA,Prostate stem cell antigen,0.27,95.78
RNASE3,Ribonuclease A family member 3,0.27,4.79
CNPY2,Canopy FGF signaling regulator 2,0.26,10.19
PDGFRB,Platelet derived growth factor receptor beta,0.25,81.73
MYH10,Myosin heavy chain 10,0.25,10.82
BLVRA,Biliverdin reductase A,0.25,3.46
ATF1,Activating transcription factor 1,0.25,5.79
DNAH6,Dynein axonemal heavy chain 6,0.25,46.15
IL11RA,Interleukin 11 receptor subunit alpha,0.25,34.41
CEACAM21,CEA cell adhesion molecule 21,0.24,91.07
SCARB1,Scavenger receptor class B member 1,0.24,21.12
PSMG4,Proteasome assembly chaperone 4,0.24,0
TMA16,Translation machinery associated 16 homolog,0.24,11.17
CHCHD6,Coiled-coil-helix-coiled-coil-helix domain containing 6,0.24,8.9
EPCAM,Epithelial cell adhesion molecule,0.24,55
PPFIA4,PTPRF interacting protein alpha 4,0.23,2.27
GUSB,Glucuronidase beta,0.23,35.28
NT5C1A,"5'-nucleotidase, cytosolic IA",0.22,19.52
BCAR3,"BCAR3 adaptor protein, NSP family member",0.22,39.42
PLIN3,Perilipin 3,0.22,12.36
MET,"MET proto-oncogene, receptor tyrosine kinase",0.21,39.73
SEPTIN10,Septin 10,0.21,29.84
DNAH17,Dynein axonemal heavy chain 17,0.21,32.3
PDE4C,Phosphodiesterase 4C,0.2,22.12
PRAM1,PML-RARA regulated adaptor molecule 1,0.2,25.98
NUP160,Nucleoporin 160,0.2,16.42
TRIAP1,TP53 regulated inhibitor of apoptosis 1,0.2,8.78
RBP7,Retinol binding protein 7,0.2,2.11
MORC3,MORC family CW-type zinc finger 3,0.2,0.48
PRTN3,Proteinase 3,0.19,15.05
TPT1,"Tumor protein, translationally-controlled 1",0.19,6.53
ZFP57,ZFP57 zinc finger protein,0.18,29.37
SHOX2,Short stature homeobox 2,0.18,38.33
NAAA,N-acylethanolamine acid amidase,0.18,38.39
FABP2,Fatty acid binding protein 2,0.17,11.26
SH3PXD2B,SH3 and PX domains 2B,0.17,44.87
DDAH1,Dimethylarginine dimethylaminohydrolase 1,0.17,16.35
PEPD,Peptidase D,0.17,44.07
SSH3,Slingshot protein phosphatase 3,0.17,8.16
KRR1,KRR1 small subunit processome component homolog,0.16,6.56
CCL8,C-C motif chemokine ligand 8,0.16,39.13
HOMER2,Homer scaffold protein 2,0.16,20.68
PLEKHA4,Pleckstrin homology domain containing A4,0.15,33.42
DCC,DCC netrin 1 receptor,0.15,26.04
ARID4B,AT-rich interaction domain 4B,0.15,2.67
NEFL,Neurofilament light chain,0.15,3.12
GIMAP7,"GTPase, IMAP family member 7",0.14,10.72
BMERB1,BMERB domain containing 1,0.14,21.67
NFASC,Neurofascin,0.14,42.96
CDH1,Cadherin 1,0.14,44.01
ANKRD50,Ankyrin repeat domain containing 50,0.13,24.72
VRK1,VRK serine/threonine kinase 1,0.13,1.98
DDX10,DEAD-box helicase 10,0.13,12.61
NBN,Nibrin,0.13,6.03
TGM2,Transglutaminase 2,0.13,7.55
USP47,Ubiquitin specific peptidase 47,0.12,5.96
SNED1,"Sushi, nidogen and EGF like domains 1",0.12,25.38
GPATCH1,G-patch domain containing 1,0.12,11.18
GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,0.11,45.96
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",0.11,57.25
IQCN,IQ motif containing N,0.11,22.28
GPHA2,Glycoprotein hormone subunit alpha 2,0.1,25.03
CD300C,CD300c molecule,0.1,65.35
AIFM1,Apoptosis inducing factor mitochondria associated 1,0.1,10.65
ENG,Endoglin,0.1,34.38
WARS1,Tryptophanyl-tRNA synthetase 1,0.1,21.54
DLL1,Delta like canonical Notch ligand 1,0.1,37.57
ICAM2,Intercellular adhesion molecule 2,0.1,80.93
EMG1,EMG1 N1-specific pseudouridine methyltransferase,0.09,2.51
F3,"Coagulation factor III, tissue factor",0.09,22.55
APIP,APAF1 interacting protein,0.09,64.74
H1-1,"H1.1 linker histone, cluster member",0.09,4.56
SEPTIN8,Septin 8,0.09,11.05
NGLY1,N-glycanase 1,0.09,22.71
ZNF385B,Zinc finger protein 385B,0.09,24.03
PKLR,Pyruvate kinase L/R,0.09,2.01
CBLL2,Cbl proto-oncogene like 2,0.08,21.65
GEMIN8,Gem nuclear organelle associated protein 8,0.08,43.63
PRCP,Prolylcarboxypeptidase,0.08,12.55
AGRN,Agrin,0.08,52.71
CD33,CD33 molecule,0.08,97.87
CST7,Cystatin F,0.08,70.11
LAMA1,Laminin subunit alpha 1,0.07,32.95
STK11IP,Serine/threonine kinase 11 interacting protein,0.07,9.55
NHP2,NHP2 ribonucleoprotein,0.06,2.65
KIF6,Kinesin family member 6,0.06,36.7
PADI2,Peptidyl arginine deiminase 2,0.06,21.81
CELF5,CUGBP Elav-like family member 5,0.06,26.64
GUCY2C,Guanylate cyclase 2C,0.05,20.03
IL32,Interleukin 32,0.05,34.62
LEO1,"LEO1 homolog, Paf1/RNA polymerase II complex component",0.05,1.41
GSTM4,Glutathione S-transferase mu 4,0.05,40.59
CSPP1,Centrosome and spindle pole associated protein 1,0.04,15.28
GGH,Gamma-glutamyl hydrolase,0.04,37.79
CEACAM3,CEA cell adhesion molecule 3,0.03,10.13
TOM1L1,Target of myb1 like 1 membrane trafficking protein,0.03,0
SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,0.02,0
FAM102A,Family with sequence similarity 102 member A,0.02,4.96
GARIN5B,Golgi associated RAB2 interactor family member 5B,0.02,23.39
CCL13,C-C motif chemokine ligand 13,0.02,21.53
KIAA1958,KIAA1958,0.01,30.87
BRSK2,BR serine/threonine kinase 2,0.01,46.49
PARP1,Poly(ADP-ribose) polymerase 1,0.01,2.95
SLC51B,Solute carrier family 51 subunit beta,0.01,52.58
SPTLC1,Serine palmitoyltransferase long chain base subunit 1,0,27.56
IL10RB,Interleukin 10 receptor subunit beta,0,44.4
CCDC137,Coiled-coil domain containing 137,0,5.5
FSHB,Follicle stimulating hormone subunit beta,77.83,16.06
PSPN,Persephin,48.44,41.81
CHI3L1,Chitinase 3 like 1,10.39,65.53
ADH4,"Alcohol dehydrogenase 4 (class II), pi polypeptide",5.39,47.58
CEACAM5,CEA cell adhesion molecule 5,3.11,34.28
TUBGCP5,Tubulin gamma complex associated protein 5,1.48,39.22
WNT16,Wnt family member 16,1.16,21.61
PRSS22,Serine protease 22,1.14,47.8
LYPLA2,Lysophospholipase 2,1.07,87.98
ANGPTL5,Angiopoietin like 5,1,87.53
FUOM,Fucose mutarotase,0.81,34.34
CXCL17,C-X-C motif chemokine ligand 17,0.78,61.99
SIM1,SIM bHLH transcription factor 1,0.58,59.3
SOSTDC1,Sclerostin domain containing 1,0.36,33.99
CYP24A1,Cytochrome P450 family 24 subfamily A member 1,0.16,51.23
ASPG,Asparaginase,0.15,48.96
OLFM2,Olfactomedin 2,0.11,50.81
TARM1,"T cell-interacting, activating receptor on myeloid cells 1",0.08,57.29
