Gene,Gene description,Concentration
LRRN1,Leucine rich repeat neuronal 1,2.3 µg/L
CLEC14A,C-type lectin domain containing 14A,2.3 µg/L
RPLP2,Ribosomal protein lateral stalk subunit P2,2.3 µg/L
TXNRD2,Thioredoxin reductase 2,2.3 µg/L
ANXA6,Annexin A6,2.3 µg/L
SMOC1,SPARC related modular calcium binding 1,2.3 µg/L
PSMB8,Proteasome 20S subunit beta 8,2.3 µg/L
PTBP1,Polypyrimidine tract binding protein 1,2.2 µg/L
PKP1,Plakophilin 1,2.2 µg/L
PILRA,Paired immunoglobin like type 2 receptor alpha,2.2 µg/L
TXNL1,Thioredoxin like 1,2.2 µg/L
SNAP23,Synaptosome associated protein 23,2.2 µg/L
WFDC2,WAP four-disulfide core domain 2,2.2 µg/L
SFRP4,Secreted frizzled related protein 4,2.2 µg/L
VGF,VGF nerve growth factor inducible,2.2 µg/L
BHMT2,Betaine--homocysteine S-methyltransferase 2,2.2 µg/L
GRHPR,Glyoxylate and hydroxypyruvate reductase,2.2 µg/L
GALNS,Galactosamine (N-acetyl)-6-sulfatase,2.2 µg/L
GALNT1,Polypeptide N-acetylgalactosaminyltransferase 1,2.2 µg/L
CMPK1,Cytidine/uridine monophosphate kinase 1,2.2 µg/L
ARF4,ADP ribosylation factor 4,2.2 µg/L
DES,Desmin,2.2 µg/L
DPP7,Dipeptidyl peptidase 7,2.2 µg/L
RGMA,Repulsive guidance molecule BMP co-receptor a,2.2 µg/L
PURA,Purine rich element binding protein A,2.2 µg/L
DDAH2,Dimethylarginine dimethylaminohydrolase 2,2.2 µg/L
PDCD6,Programmed cell death 6,2.2 µg/L
HAGH,Hydroxyacylglutathione hydrolase,2.1 µg/L
PDIA5,Protein disulfide isomerase family A member 5,2.1 µg/L
UNC13D,Unc-13 homolog D,2.1 µg/L
USP5,Ubiquitin specific peptidase 5,2.1 µg/L
TCTN3,Tectonic family member 3,2.1 µg/L
GOT2,Glutamic-oxaloacetic transaminase 2,2.1 µg/L
NCAN,Neurocan,2.1 µg/L
AOX1,Aldehyde oxidase 1,2.1 µg/L
ZIC5,Zic family member 5,2.1 µg/L
ALDH1L1,Aldehyde dehydrogenase 1 family member L1,2.1 µg/L
ARHGAP18,Rho GTPase activating protein 18,2.1 µg/L
CBR3,Carbonyl reductase 3,2.1 µg/L
NAXE,NAD(P)HX epimerase,2.1 µg/L
EFNA1,Ephrin A1,2.1 µg/L
PGM2,Phosphoglucomutase 2,2.1 µg/L
HINT1,Histidine triad nucleotide binding protein 1,2.1 µg/L
PLA2G1B,Phospholipase A2 group IB,2.1 µg/L
CANT1,Calcium activated nucleotidase 1,2.1 µg/L
PPP1CC,Protein phosphatase 1 catalytic subunit gamma,2.1 µg/L
HMGB1,High mobility group box 1,2.1 µg/L
SULF2,Sulfatase 2,2.1 µg/L
BGLAP,Bone gamma-carboxyglutamate protein,2.1 µg/L
BTK,Bruton tyrosine kinase,2.0 µg/L
COL11A1,Collagen type XI alpha 1 chain,2.0 µg/L
FH,Fumarate hydratase,2.0 µg/L
PACSIN2,Protein kinase C and casein kinase substrate in neurons 2,2.0 µg/L
PTGR1,Prostaglandin reductase 1,2.0 µg/L
SIAE,Sialic acid acetylesterase,2.0 µg/L
CCT4,Chaperonin containing TCP1 subunit 4,2.0 µg/L
MATN2,Matrilin 2,2.0 µg/L
NT5E,5'-nucleotidase ecto,2.0 µg/L
ACP1,Acid phosphatase 1,2.0 µg/L
IQGAP2,IQ motif containing GTPase activating protein 2,2.0 µg/L
SPON2,Spondin 2,2.0 µg/L
EPB42,Erythrocyte membrane protein band 4.2,2.0 µg/L
CTNNB1,Catenin beta 1,2.0 µg/L
GRB2,Growth factor receptor bound protein 2,2.0 µg/L
UBE2N,Ubiquitin conjugating enzyme E2 N,2.0 µg/L
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",2.0 µg/L
NAGA,Alpha-N-acetylgalactosaminidase,2.0 µg/L
VDAC3,Voltage dependent anion channel 3,1.9 µg/L
XRCC5,X-ray repair cross complementing 5,1.9 µg/L
RANBP1,RAN binding protein 1,1.9 µg/L
CYB5R3,Cytochrome b5 reductase 3,1.9 µg/L
RPL3,Ribosomal protein L3,1.9 µg/L
PCK2,"Phosphoenolpyruvate carboxykinase 2, mitochondrial",1.9 µg/L
PCSK1N,Proprotein convertase subtilisin/kexin type 1 inhibitor,1.9 µg/L
BLVRA,Biliverdin reductase A,1.9 µg/L
CLIP2,CAP-Gly domain containing linker protein 2,1.9 µg/L
HSPE1,Heat shock protein family E (Hsp10) member 1,1.9 µg/L
ILF3,Interleukin enhancer binding factor 3,1.9 µg/L
LRRC4B,Leucine rich repeat containing 4B,1.9 µg/L
WDR44,WD repeat domain 44,1.9 µg/L
GH2,Growth hormone 2,1.9 µg/L
ANGPTL2,Angiopoietin like 2,1.9 µg/L
CBLN2,Cerebellin 2 precursor,1.9 µg/L
MYOM3,Myomesin 3,1.9 µg/L
ALDH9A1,Aldehyde dehydrogenase 9 family member A1,1.9 µg/L
ST14,ST14 transmembrane serine protease matriptase,1.9 µg/L
GXYLT1,Glucoside xylosyltransferase 1,1.9 µg/L
RPIA,Ribose 5-phosphate isomerase A,1.9 µg/L
B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",1.9 µg/L
SEPTIN2,Septin 2,1.9 µg/L
SEMA4C,Semaphorin 4C,1.9 µg/L
UBE2V1,Ubiquitin conjugating enzyme E2 V1,1.9 µg/L
CCL18,C-C motif chemokine ligand 18,1.9 µg/L
PREP,Prolyl endopeptidase,1.8 µg/L
GLG1,Golgi glycoprotein 1,1.8 µg/L
CRKL,"CRK like proto-oncogene, adaptor protein",1.8 µg/L
ACO2,Aconitase 2,1.8 µg/L
AMH,Anti-Mullerian hormone,1.8 µg/L
NAPA,NSF attachment protein alpha,1.8 µg/L
CXCL12,C-X-C motif chemokine ligand 12,1.8 µg/L
GNG11,G protein subunit gamma 11,1.8 µg/L
IQGAP1,IQ motif containing GTPase activating protein 1,1.8 µg/L
F11R,F11 receptor,1.8 µg/L
S100P,S100 calcium binding protein P,1.8 µg/L
ANGPTL4,Angiopoietin like 4,1.8 µg/L
INPP5D,Inositol polyphosphate-5-phosphatase D,1.8 µg/L
ADH6,Alcohol dehydrogenase 6 (class V),1.8 µg/L
ROBO2,Roundabout guidance receptor 2,1.8 µg/L
PTMA,Prothymosin alpha,1.8 µg/L
TGM2,Transglutaminase 2,1.8 µg/L
GNAI3,G protein subunit alpha i3,1.7 µg/L
MACROH2A2,MacroH2A.2 histone,1.7 µg/L
CRISPLD2,Cysteine rich secretory protein LCCL domain containing 2,1.7 µg/L
PRKAR1A,Protein kinase cAMP-dependent type I regulatory subunit alpha,1.7 µg/L
ALDH2,Aldehyde dehydrogenase 2 family member,1.7 µg/L
PPP1R7,Protein phosphatase 1 regulatory subunit 7,1.7 µg/L
GLO1,Glyoxalase I,1.7 µg/L
GNAI1,G protein subunit alpha i1,1.7 µg/L
GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5,1.7 µg/L
TMOD3,Tropomodulin 3,1.7 µg/L
PCSK6,Proprotein convertase subtilisin/kexin type 6,1.7 µg/L
ARSG,Arylsulfatase G,1.7 µg/L
HK1,Hexokinase 1,1.7 µg/L
CD300LG,CD300 molecule like family member g,1.7 µg/L
AKR7A3,Aldo-keto reductase family 7 member A3,1.7 µg/L
NUDT5,Nudix hydrolase 5,1.7 µg/L
PRDX3,Peroxiredoxin 3,1.7 µg/L
RAB4B,"RAB4B, member RAS oncogene family",1.7 µg/L
FABP6,Fatty acid binding protein 6,1.7 µg/L
MAN1A2,Mannosidase alpha class 1A member 2,1.7 µg/L
AKR1C4,Aldo-keto reductase family 1 member C4,1.7 µg/L
COL5A2,Collagen type V alpha 2 chain,1.7 µg/L
MUC5AC,"Mucin 5AC, oligomeric mucus/gel-forming",1.7 µg/L
AQP1,Aquaporin 1 (Colton blood group),1.7 µg/L
C3orf85,Chromosome 3 open reading frame 85,1.7 µg/L
PAFAH1B1,Platelet activating factor acetylhydrolase 1b regulatory subunit 1,1.6 µg/L
LAMA3,Laminin subunit alpha 3,1.6 µg/L
ISOC1,Isochorismatase domain containing 1,1.6 µg/L
RHOA,Ras homolog family member A,1.6 µg/L
SEMA3A,Semaphorin 3A,1.6 µg/L
ERP29,Endoplasmic reticulum protein 29,1.6 µg/L
CPE,Carboxypeptidase E,1.6 µg/L
CD48,CD48 molecule,1.6 µg/L
CKMT2,"Creatine kinase, mitochondrial 2",1.6 µg/L
LGALS3,Galectin 3,1.6 µg/L
ANP32B,Acidic nuclear phosphoprotein 32 family member B,1.6 µg/L
MYOF,Myoferlin,1.6 µg/L
ANK2,Ankyrin 2,1.6 µg/L
LEAP2,Liver enriched antimicrobial peptide 2,1.6 µg/L
RAB4A,"RAB4A, member RAS oncogene family",1.6 µg/L
CALML3,Calmodulin like 3,1.6 µg/L
GREM2,"Gremlin 2, DAN family BMP antagonist",1.6 µg/L
ABAT,4-aminobutyrate aminotransferase,1.6 µg/L
ASAH2,N-acylsphingosine amidohydrolase 2,1.6 µg/L
XRCC6,X-ray repair cross complementing 6,1.6 µg/L
HLA-DRA,"Major histocompatibility complex, class II, DR alpha",1.6 µg/L
PCDHGC3,"Protocadherin gamma subfamily C, 3",1.6 µg/L
LCP2,Lymphocyte cytosolic protein 2,1.5 µg/L
FGFR3,Fibroblast growth factor receptor 3,1.5 µg/L
AKR1B1,Aldo-keto reductase family 1 member B,1.5 µg/L
EEF1D,Eukaryotic translation elongation factor 1 delta,1.5 µg/L
ICAM5,Intercellular adhesion molecule 5,1.5 µg/L
PPP2R1A,Protein phosphatase 2 scaffold subunit Aalpha,1.5 µg/L
PPIF,Peptidylprolyl isomerase F,1.5 µg/L
RAB34,"RAB34, member RAS oncogene family",1.5 µg/L
PEX1,Peroxisomal biogenesis factor 1,1.5 µg/L
GGT7,Gamma-glutamyltransferase 7,1.5 µg/L
SORL1,Sortilin related receptor 1,1.5 µg/L
RGS10,Regulator of G protein signaling 10,1.5 µg/L
CCT5,Chaperonin containing TCP1 subunit 5,1.5 µg/L
MEPE,Matrix extracellular phosphoglycoprotein,1.5 µg/L
ZG16B,Zymogen granule protein 16B,1.5 µg/L
FREM1,FRAS1 related extracellular matrix 1,1.5 µg/L
EPHB4,EPH receptor B4,1.5 µg/L
PDLIM7,PDZ and LIM domain 7,1.5 µg/L
MFAP5,Microfibril associated protein 5,1.5 µg/L
INF2,Inverted formin 2,1.5 µg/L
MGAM,Maltase-glucoamylase,1.5 µg/L
SLURP2,Secreted LY6/PLAUR domain containing 2,1.5 µg/L
AKR7A2,Aldo-keto reductase family 7 member A2,1.4 µg/L
PFKP,"Phosphofructokinase, platelet",1.4 µg/L
SRI,Sorcin,1.4 µg/L
STXBP2,Syntaxin binding protein 2,1.4 µg/L
SEMA4G,Semaphorin 4G,1.4 µg/L
RETN,Resistin,1.4 µg/L
DUSP3,Dual specificity phosphatase 3,1.4 µg/L
CD81,CD81 molecule,1.4 µg/L
LMNB1,Lamin B1,1.4 µg/L
B4GALT2,"Beta-1,4-galactosyltransferase 2",1.4 µg/L
MAN1C1,Mannosidase alpha class 1C member 1,1.4 µg/L
SET,SET nuclear proto-oncogene,1.4 µg/L
RRBP1,Ribosome binding protein 1,1.4 µg/L
GNS,Glucosamine (N-acetyl)-6-sulfatase,1.4 µg/L
FHOD1,Formin homology 2 domain containing 1,1.4 µg/L
GYPC,Glycophorin C (Gerbich blood group),1.4 µg/L
SDCBP,Syndecan binding protein,1.4 µg/L
ITGAV,Integrin subunit alpha V,1.4 µg/L
ARMH4,Armadillo like helical domain containing 4,1.4 µg/L
PSTPIP2,Proline-serine-threonine phosphatase interacting protein 2,1.4 µg/L
HNRNPU,Heterogeneous nuclear ribonucleoprotein U,1.4 µg/L
TFF1,Trefoil factor 1,1.4 µg/L
PDLIM5,PDZ and LIM domain 5,1.4 µg/L
SMPD1,Sphingomyelin phosphodiesterase 1,1.4 µg/L
HNRNPH1,Heterogeneous nuclear ribonucleoprotein H1,1.4 µg/L
CORO1B,Coronin 1B,1.4 µg/L
GOLIM4,Golgi integral membrane protein 4,1.4 µg/L
KRTAP9-7,Keratin associated protein 9-7,1.4 µg/L
RASA3,RAS p21 protein activator 3,1.4 µg/L
DPYD,Dihydropyrimidine dehydrogenase,1.4 µg/L
HLA-DRB1,"Major histocompatibility complex, class II, DR beta 1",1.4 µg/L
KRTAP4-3,Keratin associated protein 4-3,1.4 µg/L
SPTAN1,"Spectrin alpha, non-erythrocytic 1",1.4 µg/L
CKMT1A,"Creatine kinase, mitochondrial 1A",1.4 µg/L
CKMT1B,"Creatine kinase, mitochondrial 1B",1.4 µg/L
BID,BH3 interacting domain death agonist,1.3 µg/L
ELN,Elastin,1.3 µg/L
PHPT1,Phosphohistidine phosphatase 1,1.3 µg/L
C1QBP,Complement C1q binding protein,1.3 µg/L
MAPK14,Mitogen-activated protein kinase 14,1.3 µg/L
SKP1,S-phase kinase associated protein 1,1.3 µg/L
NIT2,Nitrilase family member 2,1.3 µg/L
HYAL1,Hyaluronidase 1,1.3 µg/L
NCL,Nucleolin,1.3 µg/L
MMP8,Matrix metallopeptidase 8,1.3 µg/L
SLITRK3,SLIT and NTRK like family member 3,1.3 µg/L
CHST3,Carbohydrate sulfotransferase 3,1.3 µg/L
LRRC4,Leucine rich repeat containing 4,1.3 µg/L
ATP1B1,ATPase Na+/K+ transporting subunit beta 1,1.3 µg/L
TNFRSF21,TNF receptor superfamily member 21,1.3 µg/L
MAT1A,Methionine adenosyltransferase 1A,1.3 µg/L
COLEC12,Collectin subfamily member 12,1.3 µg/L
PCOLCE2,Procollagen C-endopeptidase enhancer 2,1.3 µg/L
CPA3,Carboxypeptidase A3,1.3 µg/L
MAT2A,Methionine adenosyltransferase 2A,1.3 µg/L
UBE2V2,Ubiquitin conjugating enzyme E2 V2,1.3 µg/L
LRRC15,Leucine rich repeat containing 15,1.3 µg/L
ZG16,Zymogen granule protein 16,1.3 µg/L
EMILIN3,Elastin microfibril interfacer 3,1.3 µg/L
ANXA4,Annexin A4,1.3 µg/L
PSMB10,Proteasome 20S subunit beta 10,1.3 µg/L
VDAC1,Voltage dependent anion channel 1,1.3 µg/L
AK2,Adenylate kinase 2,1.2 µg/L
GCLM,Glutamate-cysteine ligase modifier subunit,1.2 µg/L
TNFRSF17,TNF receptor superfamily member 17,1.2 µg/L
LY75,Lymphocyte antigen 75,1.2 µg/L
YBX1,Y-box binding protein 1,1.2 µg/L
ACHE,Acetylcholinesterase (Cartwright blood group),1.2 µg/L
LGMN,Legumain,1.2 µg/L
LIPG,"Lipase G, endothelial type",1.2 µg/L
STK24,Serine/threonine kinase 24,1.2 µg/L
ASPN,Asporin,1.2 µg/L
SUSD1,Sushi domain containing 1,1.2 µg/L
ATP6V1A,ATPase H+ transporting V1 subunit A,1.2 µg/L
QPCT,Glutaminyl-peptide cyclotransferase,1.2 µg/L
RPN2,Ribophorin II,1.2 µg/L
UBQLN1,Ubiquilin 1,1.2 µg/L
NIBAN2,Niban apoptosis regulator 2,1.2 µg/L
SEMA6D,Semaphorin 6D,1.2 µg/L
AMDHD1,Amidohydrolase domain containing 1,1.2 µg/L
RHOC,Ras homolog family member C,1.2 µg/L
MMP14,Matrix metallopeptidase 14,1.2 µg/L
IFNAR2,Interferon alpha and beta receptor subunit 2,1.2 µg/L
RPS14,Ribosomal protein S14,1.2 µg/L
STIM1,Stromal interaction molecule 1,1.2 µg/L
RPSA,Ribosomal protein SA,1.2 µg/L
HNRNPF,Heterogeneous nuclear ribonucleoprotein F,1.2 µg/L
TNFRSF10C,TNF receptor superfamily member 10c,1.2 µg/L
PAK2,P21 (RAC1) activated kinase 2,1.2 µg/L
KRTAP11-1,Keratin associated protein 11-1,1.2 µg/L
UBQLN2,Ubiquilin 2,1.2 µg/L
HMGN2,High mobility group nucleosomal binding domain 2,1.2 µg/L
SKAP2,Src kinase associated phosphoprotein 2,1.1 µg/L
XYLT2,Xylosyltransferase 2,1.1 µg/L
NRXN3,Neurexin 3,1.1 µg/L
EHD2,EH domain containing 2,1.1 µg/L
RTN4R,Reticulon 4 receptor,1.1 µg/L
HNRNPC,Heterogeneous nuclear ribonucleoprotein C,1.1 µg/L
RAB18,"RAB18, member RAS oncogene family",1.1 µg/L
UPB1,Beta-ureidopropionase 1,1.1 µg/L
MTHFD1,"Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",1.1 µg/L
HNRNPL,Heterogeneous nuclear ribonucleoprotein L,1.1 µg/L
TFR2,Transferrin receptor 2,1.1 µg/L
PTGES3,Prostaglandin E synthase 3,1.1 µg/L
MEP1A,Meprin A subunit alpha,1.1 µg/L
ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",1.1 µg/L
MOGS,Mannosyl-oligosaccharide glucosidase,1.1 µg/L
PAPPA2,Pappalysin 2,1.1 µg/L
RPL22,Ribosomal protein L22,1.1 µg/L
CD46,CD46 molecule,1.1 µg/L
HSPH1,Heat shock protein family H (Hsp110) member 1,1.1 µg/L
CPXM2,"Carboxypeptidase X, M14 family member 2",1.1 µg/L
OPTN,Optineurin,1.1 µg/L
CHPF,Chondroitin polymerizing factor,1.1 µg/L
NEDD8,NEDD8 ubiquitin like modifier,1.1 µg/L
TNNI3,"Troponin I3, cardiac type",1.1 µg/L
LSP1,Lymphocyte specific protein 1,1.1 µg/L
FBP2,Fructose-bisphosphatase 2,1.1 µg/L
EMILIN2,Elastin microfibril interfacer 2,1.1 µg/L
ITGA7,Integrin subunit alpha 7,1.1 µg/L
GMPR,Guanosine monophosphate reductase,1.1 µg/L
PDE5A,Phosphodiesterase 5A,1.1 µg/L
CYRIB,CYFIP related Rac1 interactor B,1.1 µg/L
ALDH16A1,Aldehyde dehydrogenase 16 family member A1,1.1 µg/L
NFASC,Neurofascin,1.1 µg/L
DEFB1,Defensin beta 1,1.1 µg/L
GOLM2,Golgi membrane protein 2,1.1 µg/L
SCARA5,Scavenger receptor class A member 5,1.1 µg/L
NPTX1,Neuronal pentraxin 1,1.1 µg/L
KRTAP4-4,Keratin associated protein 4-4,1.1 µg/L
PPID,Peptidylprolyl isomerase D,1.1 µg/L
THBD,Thrombomodulin,1.1 µg/L
SEPTIN5,Septin 5,1.1 µg/L
DLK1,Delta like non-canonical Notch ligand 1,1.1 µg/L
PCBP2,Poly(rC) binding protein 2,1.1 µg/L
C1QTNF5,C1q and TNF related 5,1.1 µg/L
GDF2,Growth differentiation factor 2,1.1 µg/L
DYNLL2,Dynein light chain LC8-type 2,1.1 µg/L
NDST1,N-deacetylase and N-sulfotransferase 1,1.0 µg/L
PABPC4,Poly(A) binding protein cytoplasmic 4,1.0 µg/L
GFUS,GDP-L-fucose synthase,1.0 µg/L
CDC37,"Cell division cycle 37, HSP90 cochaperone",1.0 µg/L
DBN1,Drebrin 1,1.0 µg/L
TJP2,Tight junction protein 2,1.0 µg/L
YARS1,Tyrosyl-tRNA synthetase 1,1.0 µg/L
CPA2,Carboxypeptidase A2,1.0 µg/L
GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,1.0 µg/L
CYB5A,Cytochrome b5 type A,1.0 µg/L
NPPA,Natriuretic peptide A,1.0 µg/L
UBA7,Ubiquitin like modifier activating enzyme 7,1.0 µg/L
NOTUM,"Notum, palmitoleoyl-protein carboxylesterase",1.0 µg/L
SERPINB2,Serpin family B member 2,1.0 µg/L
GSTM2,Glutathione S-transferase mu 2,1.0 µg/L
EFNB2,Ephrin B2,990 ng/L
FUOM,Fucose mutarotase,990 ng/L
CD200R1,CD200 receptor 1,990 ng/L
HMGB2,High mobility group box 2,990 ng/L
CDH3,Cadherin 3,980 ng/L
SLC39A14,Solute carrier family 39 member 14,980 ng/L
CLEC11A,C-type lectin domain containing 11A,980 ng/L
NAMPT,Nicotinamide phosphoribosyltransferase,980 ng/L
TBXAS1,Thromboxane A synthase 1,970 ng/L
RPLP0,Ribosomal protein lateral stalk subunit P0,970 ng/L
AARS1,Alanyl-tRNA synthetase 1,970 ng/L
GLA,Galactosidase alpha,970 ng/L
LRIG2,Leucine rich repeats and immunoglobulin like domains 2,970 ng/L
CPXM1,"Carboxypeptidase X, M14 family member 1",960 ng/L
SHMT1,Serine hydroxymethyltransferase 1,950 ng/L
CYFIP1,Cytoplasmic FMR1 interacting protein 1,950 ng/L
LRP11,LDL receptor related protein 11,940 ng/L
SCUBE3,"Signal peptide, CUB domain and EGF like domain containing 3",940 ng/L
GNPDA2,Glucosamine-6-phosphate deaminase 2,940 ng/L
ASPH,Aspartate beta-hydroxylase,940 ng/L
TG,Thyroglobulin,930 ng/L
HDGF,Heparin binding growth factor,930 ng/L
JAML,Junction adhesion molecule like,930 ng/L
VWCE,Von Willebrand factor C and EGF domains,930 ng/L
MMP11,Matrix metallopeptidase 11,920 ng/L
STMN1,Stathmin 1,920 ng/L
PLA2G12B,Phospholipase A2 group XIIB,920 ng/L
SYNE1,Spectrin repeat containing nuclear envelope protein 1,910 ng/L
FUT11,Fucosyltransferase 11,910 ng/L
CS,Citrate synthase,900 ng/L
PPM1A,"Protein phosphatase, Mg2+/Mn2+ dependent 1A",900 ng/L
TAOK1,TAO kinase 1,900 ng/L
CCN5,Cellular communication network factor 5,890 ng/L
TPD52L2,TPD52 like 2,890 ng/L
ADGRD1,Adhesion G protein-coupled receptor D1,890 ng/L
TUFM,"Tu translation elongation factor, mitochondrial",890 ng/L
GPC6,Glypican 6,890 ng/L
APRT,Adenine phosphoribosyltransferase,890 ng/L
TARS1,Threonyl-tRNA synthetase 1,880 ng/L
PCDH17,Protocadherin 17,880 ng/L
SYNCRIP,Synaptotagmin binding cytoplasmic RNA interacting protein,880 ng/L
GNAO1,G protein subunit alpha o1,870 ng/L
IL1R1,Interleukin 1 receptor type 1,870 ng/L
EPHA7,EPH receptor A7,870 ng/L
MEGF6,Multiple EGF like domains 6,870 ng/L
DCTN2,Dynactin subunit 2,870 ng/L
WAS,WASP actin nucleation promoting factor,860 ng/L
FGFR2,Fibroblast growth factor receptor 2,860 ng/L
CHST12,Carbohydrate sulfotransferase 12,860 ng/L
ENSA,Endosulfine alpha,860 ng/L
TATDN1,TatD DNase domain containing 1,860 ng/L
OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1",860 ng/L
ITGAM,Integrin subunit alpha M,860 ng/L
ECH1,Enoyl-CoA hydratase 1,850 ng/L
XPNPEP1,X-prolyl aminopeptidase 1,850 ng/L
ACTR1A,Actin related protein 1A,850 ng/L
PEF1,Penta-EF-hand domain containing 1,850 ng/L
LY6G6F,Lymphocyte antigen 6 family member G6F,850 ng/L
CD99L2,CD99 molecule like 2,840 ng/L
COL9A1,Collagen type IX alpha 1 chain,840 ng/L
EPHX2,Epoxide hydrolase 2,840 ng/L
ADD1,Adducin 1,830 ng/L
DCPS,"Decapping enzyme, scavenger",830 ng/L
GNPDA1,Glucosamine-6-phosphate deaminase 1,830 ng/L
IL1RN,Interleukin 1 receptor antagonist,830 ng/L
HADH,Hydroxyacyl-CoA dehydrogenase,830 ng/L
RPL9,Ribosomal protein L9,830 ng/L
RPL4,Ribosomal protein L4,830 ng/L
CHID1,Chitinase domain containing 1,830 ng/L
RASGRP2,RAS guanyl releasing protein 2,820 ng/L
PSMD9,"Proteasome 26S subunit, non-ATPase 9",820 ng/L
PFKL,"Phosphofructokinase, liver type",820 ng/L
GARS1,Glycyl-tRNA synthetase 1,810 ng/L
NCCRP1,"NCCRP1, F-box associated domain containing",810 ng/L
GMFB,Glia maturation factor beta,810 ng/L
HEBP2,Heme binding protein 2,800 ng/L
TMEM40,Transmembrane protein 40,800 ng/L
LAMA4,Laminin subunit alpha 4,800 ng/L
VPS13C,Vacuolar protein sorting 13 homolog C,800 ng/L
ASAH1,N-acylsphingosine amidohydrolase 1,790 ng/L
MYRF,Myelin regulatory factor,790 ng/L
PAICS,Phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,790 ng/L
DMGDH,Dimethylglycine dehydrogenase,790 ng/L
THSD1,Thrombospondin type 1 domain containing 1,790 ng/L
SERPINH1,Serpin family H member 1,790 ng/L
UROC1,Urocanate hydratase 1,790 ng/L
SLC25A5,Solute carrier family 25 member 5,780 ng/L
GUCA2B,Guanylate cyclase activator 2B,780 ng/L
CDV3,CDV3 homolog,780 ng/L
PDGFB,Platelet derived growth factor subunit B,780 ng/L
CSK,C-terminal Src kinase,780 ng/L
GRAP,GRB2 related adaptor protein,780 ng/L
CPVL,Carboxypeptidase vitellogenic like,770 ng/L
CHST10,Carbohydrate sulfotransferase 10,770 ng/L
ECE1,Endothelin converting enzyme 1,770 ng/L
ANGPTL8,Angiopoietin like 8,770 ng/L
SIL1,SIL1 nucleotide exchange factor,760 ng/L
TNNT3,"Troponin T3, fast skeletal type",760 ng/L
NTS,Neurotensin,760 ng/L
GSTM3,Glutathione S-transferase mu 3,760 ng/L
BANF1,BAF nuclear assembly factor 1,760 ng/L
IL10RB,Interleukin 10 receptor subunit beta,760 ng/L
TGM1,Transglutaminase 1,750 ng/L
EEF1B2,Eukaryotic translation elongation factor 1 beta 2,750 ng/L
DNASE1,Deoxyribonuclease 1,750 ng/L
EIF6,Eukaryotic translation initiation factor 6,750 ng/L
TMEM248,Transmembrane protein 248,740 ng/L
LOXL3,Lysyl oxidase like 3,740 ng/L
WIPF1,WAS/WASL interacting protein family member 1,740 ng/L
BIN1,Bridging integrator 1,740 ng/L
FTCD,Formimidoyltransferase cyclodeaminase,740 ng/L
DDB1,Damage specific DNA binding protein 1,740 ng/L
HCLS1,Hematopoietic cell-specific Lyn substrate 1,740 ng/L
EIF4H,Eukaryotic translation initiation factor 4H,730 ng/L
KRT23,Keratin 23,730 ng/L
UCHL3,Ubiquitin C-terminal hydrolase L3,730 ng/L
NAGK,N-acetylglucosamine kinase,730 ng/L
ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5,730 ng/L
DDI2,DNA damage inducible 1 homolog 2,730 ng/L
BPIFA1,BPI fold containing family A member 1,730 ng/L
PHB1,Prohibitin 1,720 ng/L
ESYT1,Extended synaptotagmin 1,710 ng/L
CZIB,CXXC motif containing zinc binding protein,710 ng/L
PBLD,Phenazine biosynthesis like protein domain containing,700 ng/L
SSC4D,Scavenger receptor cysteine rich family member with 4 domains,700 ng/L
RPS7,Ribosomal protein S7,700 ng/L
LILRA5,Leukocyte immunoglobulin like receptor A5,700 ng/L
RPS12,Ribosomal protein S12,690 ng/L
CCN1,Cellular communication network factor 1,690 ng/L
HSPA4L,Heat shock protein family A (Hsp70) member 4 like,690 ng/L
HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3,690 ng/L
ANXA7,Annexin A7,680 ng/L
CTNND1,Catenin delta 1,680 ng/L
CCDC80,Coiled-coil domain containing 80,670 ng/L
POF1B,POF1B actin binding protein,670 ng/L
EML2,EMAP like 2,670 ng/L
STAB2,Stabilin 2,670 ng/L
ADAM10,ADAM metallopeptidase domain 10,670 ng/L
PLBD2,Phospholipase B domain containing 2,670 ng/L
PFAS,Phosphoribosylformylglycinamidine synthase,670 ng/L
PPA1,Inorganic pyrophosphatase 1,670 ng/L
PDGFA,Platelet derived growth factor subunit A,670 ng/L
ACAT1,Acetyl-CoA acetyltransferase 1,660 ng/L
COL16A1,Collagen type XVI alpha 1 chain,660 ng/L
ECHS1,"Enoyl-CoA hydratase, short chain 1",660 ng/L
PRTN3,Proteinase 3,660 ng/L
TNFRSF1A,TNF receptor superfamily member 1A,650 ng/L
NUCB2,Nucleobindin 2,650 ng/L
HIBADH,3-hydroxyisobutyrate dehydrogenase,650 ng/L
